matrix_n,avg_latency_s,repeats,blas_threads
64,0.0006375476666562463,3,1
128,0.00022683900003054683,3,1
192,0.0006146036666905275,3,1
256,0.0014931876667105826,3,1
320,0.0027770983333539334,3,1
384,0.004756032000083603,3,1
448,0.007668766333457218,3,1
512,0.008248455999895063,3,1
576,0.011631534666700341,3,1
640,0.016812004333360164,3,1
704,0.021232666666643734,3,1
768,0.027860089333368403,3,1
832,0.03531791733333497,3,1
896,0.043622212333275456,3,1
960,0.05474486466679688,3,1
1024,0.0640099543334145,3,1
1088,0.07835326633335171,3,1
1152,0.09293761933327005,3,1
1216,0.10839622433331897,3,1
1280,0.12641328566670987,3,1
1344,0.14523715800002415,3,1
1408,0.16648252533332197,3,1
1472,0.19130987733342408,3,1
1536,0.2164090399999926,3,1
1600,0.24581972366665164,3,1
1664,0.2753706516666625,3,1
1728,0.30925319033334137,3,1
1792,0.3462413929999002,3,1
1856,0.3838076749999952,3,1
1920,0.42368250566672333,3,1
1984,0.46782296266671136,3,1
2048,0.5104641116665789,3,1
